0.51,7.89,4.14
0.35,7.23,3.60
0.10,6.48,3.12
0.00,6.25,3.32
0.10,5.94,3.64
0.22,6.10,4.08
0.39,7.26,4.72
0.56,7.46,5.08
0.59,7.25,5.10
0.69,7.35,4.79
0.61,7.49,4.41
0.63,8.31,4.21
0.62,8.67,3.86
0.67,9.06,2.92
0.63,7.72,1.67
0.17,7.64,1.53
0.23,8.86,0.68
1.10,9.62,-1.87
1.03,9.67,-2.46
1.57,8.25,-3.73
1.55,9.63,-3.78
2.04,9.45,-5.31
2.16,9.63,-5.58
2.43,8.54,-5.89
2.52,8.68,-6.23
2.88,8.82,-7.11
3.00,8.19,-7.35
3.24,8.45,-8.06
3.21,7.22,-8.40
3.39,7.07,-8.84
3.52,7.52,-9.07
3.68,7.20,-9.32
3.77,7.18,-9.49
3.80,7.27,-9.60
3.82,7.23,-9.73
3.71,7.25,-9.48
3.62,7.16,-9.37
3.53,7.00,-9.10
3.39,7.19,-8.82
3.30,7.65,-8.74
3.42,8.38,-8.72
3.61,8.20,-9.23
3.46,8.70,-8.00
3.11,8.46,-7.30
2.68,7.58,-5.32
2.08,7.33,-3.44
2.02,7.08,-1.84
2.43,7.62,-1.03
2.82,7.45,0.00
3.27,9.09,1.67
3.72,10.53,2.22
3.24,10.67,2.58
2.81,9.44,2.83
2.55,8.18,2.76
2.22,6.99,3.33
1.75,7.32,3.82
1.67,7.71,4.33
1.64,7.38,3.96
1.78,7.24,3.79
1.69,7.13,4.05
1.66,6.76,4.30
1.52,6.85,4.93
1.59,7.38,4.78
1.77,8.11,4.07
1.75,9.08,3.57
1.62,8.81,3.62
1.44,8.26,2.80
1.16,8.82,1.97
1.49,9.43,0.73
1.74,8.46,-1.51
1.95,7.79,-2.68
2.24,8.43,-3.40
2.45,9.04,-3.61
2.58,9.12,-5.01
3.06,8.38,-6.67
2.98,8.43,-7.15
3.09,9.45,-7.76
3.05,8.64,-8.09
2.86,7.03,-8.59
3.11,6.38,-9.42
