21.42,8.96,9.79
10.04,-2.60,5.87
-0.52,-4.02,1.33
-8.00,-4.25,-0.38
-14.36,-4.97,0.78
-9.07,-4.08,3.01
-1.58,-2.67,6.84
3.06,-4.85,8.56
15.56,2.79,13.05
28.97,15.88,12.28
24.97,11.57,8.21
12.38,-2.86,5.16
2.45,-5.53,-0.20
-5.06,-5.02,0.52
-15.78,-6.43,3.89
-13.36,-5.78,6.96
-1.80,-2.75,6.67
6.70,-2.20,9.74
20.07,8.14,11.30
26.64,13.42,7.61
19.24,5.34,3.46
8.96,1.37,2.79
0.58,-1.68,0.56
-6.12,-3.37,0.80
-13.72,-3.91,5.90
-7.40,-3.96,5.43
0.14,-3.77,4.31
7.20,-3.37,8.76
13.62,2.73,13.36
22.98,11.15,10.22
21.60,12.01,7.52
14.46,4.57,3.74
6.87,-1.04,0.57
-1.66,-6.10,-1.74
-18.93,-9.62,5.11
-13.18,-5.88,8.59
0.29,-1.95,7.81
10.40,-0.60,11.15
21.92,8.27,10.02
29.19,14.20,5.12
21.95,6.11,0.32
9.60,-1.02,-0.26
-1.10,-4.99,-0.65
-14.24,-8.65,3.70
-15.38,-5.67,9.73
-0.36,-2.49,5.87
5.40,-2.30,7.11
15.49,0.20,6.44
25.47,11.08,4.58
27.69,17.18,0.48
17.28,4.87,1.34
5.89,-3.88,2.04
-2.93,-5.45,3.86
-10.52,-4.86,7.68
-8.67,-3.75,8.59
-0.72,-1.91,7.72
6.06,-3.33,6.59
9.90,-1.36,14.65
27.49,10.75,4.61
28.83,16.95,0.31
17.60,4.01,-1.35
6.06,-4.70,-0.85
-2.91,-6.33,5.25
-9.58,-4.57,10.52
-6.56,-2.80,9.60
-0.52,-1.07,9.73
5.14,-3.28,6.97
15.88,2.98,7.05
25.78,12.01,5.33
24.25,10.46,-0.31
14.40,2.64,0.32
5.15,-1.76,0.67
-3.66,-4.76,3.86
-12.59,-5.13,9.03
-5.50,-2.98,8.20
2.16,-1.34,7.91
7.14,-2.43,7.61
12.80,2.75,13.45
27.08,13.48,5.31
25.07,12.11,0.83
14.04,0.63,0.12
1.89,-4.70,-0.49
-6.72,-5.94,2.66
-13.97,-5.29,9.26
-7.30,-4.02,8.36
0.14,-2.82,8.43
6.14,-4.88,7.43
18.14,6.01,7.55
24.75,11.81,5.68
22.41,8.80,1.75
12.14,1.13,2.41
1.70,-3.32,1.98
-5.97,-5.54,3.64
-12.45,-4.96,9.07
-4.34,-3.60,8.06
2.66,-2.29,8.30
8.87,-2.56,8.65
20.93,6.85,8.97
26.59,15.84,8.50
24.08,9.50,3.52
11.78,-1.07,2.32
0.30,-6.71,-0.56
-12.53,-9.83,2.14
-17.48,-6.24,8.47
-1.54,-2.83,6.20
