0.34,0.36,7.04
0.07,0.30,7.13
-0.23,0.15,7.34
0.34,0.35,6.92
0.18,0.41,7.11
-0.05,0.33,7.36
0.03,0.33,7.36
0.35,0.49,7.09
0.19,0.42,6.61
0.17,0.45,6.91
0.02,0.48,7.12
-0.09,0.50,7.27
0.02,0.43,6.93
0.51,0.60,7.33
0.41,0.52,6.88
0.42,0.35,7.45
0.53,0.63,7.04
-0.51,0.30,7.30
-0.36,0.37,7.36
0.06,0.35,7.03
0.43,0.31,7.08
0.47,0.28,7.05
0.21,0.20,7.25
0.06,0.17,7.16
0.01,0.13,7.17
0.15,0.15,7.15
0.30,0.20,7.03
0.35,0.12,7.04
0.23,0.15,7.13
0.16,0.18,7.22
0.17,0.14,7.25
0.32,0.20,7.11
0.31,0.06,7.14
0.15,0.10,7.12
0.13,0.14,7.18
0.23,0.15,7.20
0.34,0.18,7.10
0.46,0.30,7.27
0.34,0.18,7.14
0.23,0.22,7.02
0.18,0.27,7.06
0.18,0.29,7.08
0.24,0.29,7.04
0.42,0.38,7.23
0.28,0.25,7.15
0.15,0.32,7.08
0.18,0.23,6.95
0.03,0.28,7.18
0.02,0.33,7.18
0.13,0.37,7.14
0.19,0.36,7.12
0.13,0.30,6.79
0.19,0.37,6.93
0.08,0.41,7.32
0.08,0.44,7.11
0.23,0.34,7.29
0.21,0.32,7.17
0.15,0.34,6.97
0.08,0.27,6.93
0.20,0.32,7.07
0.19,0.33,7.18
0.17,0.30,7.21
0.09,0.27,7.11
0.12,0.32,7.13
0.11,0.33,7.01
0.14,0.26,7.02
0.22,0.32,7.21
0.31,0.35,7.07
0.22,0.33,6.96
0.24,0.42,7.04
0.22,0.31,7.09
0.18,0.38,7.05
0.13,0.40,7.23
0.18,0.35,7.06
0.28,0.38,6.97
0.46,0.25,7.07
0.23,0.18,7.03
0.00,0.14,7.04
0.04,0.31,6.37
0.31,0.17,7.15
0.30,0.18,7.21
0.38,0.17,7.12
0.29,0.20,7.03
-0.06,0.16,7.24
0.02,0.12,7.36
0.24,0.21,7.21
0.36,0.20,7.20
0.30,0.17,7.03
0.09,0.24,7.00
